"id","code","name"
"partner_view_360.jobseeker_category_11",11,"Öppet arbetslös"
"partner_view_360.jobseeker_category_14",14,"Arbetssökande med förhinder"
"partner_view_360.jobseeker_category_15",15,"Kommuninsats"
"partner_view_360.jobseeker_category_21",21,"Deltidsarbetslös"
"partner_view_360.jobseeker_category_22",22,"Tillfälligt timanställd"
"partner_view_360.jobseeker_category_23",23,"Yrkesfiskare"
"partner_view_360.jobseeker_category_28",28,"Kartläggning inom Etableringsprogrammet (aut)"
"partner_view_360.jobseeker_category_30",30,"Introduktionsjobb (aut)"
"partner_view_360.jobseeker_category_31",31,"Anställd i önskad omfattning upp till 3 månader"
"partner_view_360.jobseeker_category_32",32,"Utbildningskontrakt (aut)"
"partner_view_360.jobseeker_category_33",33,"Nystartsjobb (aut)"
"partner_view_360.jobseeker_category_34",34,"Utresande EU/EES-sökande"
"partner_view_360.jobseeker_category_35",35,"Ombytessökande, Samhall"
"partner_view_360.jobseeker_category_36",36,"Särskilt nystartsjobb (aut)"
"partner_view_360.jobseeker_category_38",38,"Lönebidrag för utveckling i anställning (aut)"
"partner_view_360.jobseeker_category_39",39,"Lönebidrag för trygghet i anställning (aut)"
"partner_view_360.jobseeker_category_40",40,"Yrkesintroduktionsanställning (aut)"
"partner_view_360.jobseeker_category_41",41,"Anställd i önskad omfattning längre än 3 månader"
"partner_view_360.jobseeker_category_42",42,"Lönebidrag för anställning (aut)"
"partner_view_360.jobseeker_category_43",43,"Skyddat arbete, offentlig arbetsgivare (aut)"
"partner_view_360.jobseeker_category_45",45,"Förstärkt särskilt anställningsstöd (aut)"
"partner_view_360.jobseeker_category_46",46,"Start av näringsverksamhet (aut)"
"partner_view_360.jobseeker_category_47",47,"Trainee brist (aut)"
"partner_view_360.jobseeker_category_48",48,"Trainee välfärd (aut)"
"partner_view_360.jobseeker_category_49",49,"Särskilt anställningsstöd inom jobb- och utvecklingsgarantin (aut)"
"partner_view_360.jobseeker_category_50",50,"Modernt beredskapsjobb (aut)"
"partner_view_360.jobseeker_category_51",51,"Extratjänst (aut)"
"partner_view_360.jobseeker_category_54",54,"Arbetspraktik (aut)"
"partner_view_360.jobseeker_category_56",56,"Kulturarvslyftet (aut)"
"partner_view_360.jobseeker_category_58",58,"Lönebidrag för utveckling i anställning hos Samhall (aut)"
"partner_view_360.jobseeker_category_59",59,"Prova-på-plats (aut)"
"partner_view_360.jobseeker_category_67",67,"Praktisk kompetensutveckling (aut)"
"partner_view_360.jobseeker_category_68",68,"Etableringsprogrammet (aut)"
"partner_view_360.jobseeker_category_69",69,"Jobbgaranti för ungdomar (aut)"
"partner_view_360.jobseeker_category_70",70,"Jobb- och utvecklingsgarantin (aut)"
"partner_view_360.jobseeker_category_71",71,"Arbetslivsinriktad rehabilitering (aut)"
"partner_view_360.jobseeker_category_72",72,"Arbetslivsintroduktion (aut)"
"partner_view_360.jobseeker_category_73",73,"Aktiviteter inom vägledning eller platsförmedling (aut)"
"partner_view_360.jobseeker_category_75",75,"Projekt med arbetsmarknadspolitisk inriktning (aut)"
"partner_view_360.jobseeker_category_76",76,"Fördjupad kartläggning och vägledning (aut)"
"partner_view_360.jobseeker_category_78",78,"Instegsjobb (aut)"
"partner_view_360.jobseeker_category_79",79,"Jobb- och utvecklingsgarantin, sysselsättningsfasen (aut)"
"partner_view_360.jobseeker_category_80",80,"Förberedande insatser (aut)"
"partner_view_360.jobseeker_category_81",81,"Arbetsmarknadsutbildning (aut)"
"partner_view_360.jobseeker_category_83",83,"Förberedande utbildning (aut)"
"partner_view_360.jobseeker_category_86",86,"Validering (aut)"
"partner_view_360.jobseeker_category_87",87,"Arbetsträning med handledare (aut)"
"partner_view_360.jobseeker_category_88",88,"Arbetsträning inom praktiskt basår (aut)"
"partner_view_360.jobseeker_category_95",95,"Upphävande av beslut (aut)"
"partner_view_360.jobseeker_category_96",96,"Felregistrering av beslut (aut)"
"partner_view_360.jobseeker_category_97",97,"Avbrott/Återkallande av beslut (aut)"
"partner_view_360.jobseeker_category_98",98,"Slutförd beslutsperiod (aut)"
